date,ppd
2017-11-10,0.7
2017-11-11,0.0
2017-11-12,0.0
2017-11-13,0.0
2017-11-14,0.0
2017-11-15,0.0
2017-11-16,0.0
2017-11-17,0.0
2017-11-18,0.0
2017-11-19,0.0
2017-11-20,0.0
2017-11-21,0.0
2017-11-22,0.0
2017-11-23,0.0
2017-11-24,0.0
2017-11-25,0.0
2017-11-26,T
2017-11-27,0.0
2017-11-28,T
2017-11-29,0.0
2017-11-30,0.0
2017-12-01,0.0
2017-12-02,T
2017-12-03,0.0
2017-12-04,0.0
2017-12-05,0.0
2017-12-06,0.0
2017-12-07,0.0
2017-12-08,0.0
2017-12-09,0.0
2017-12-10,0.0
2017-12-11,0.0
2017-12-12,0.8
2017-12-13,0.7
2017-12-14,0.0
2017-12-15,0.0
2017-12-16,0.7
2017-12-17,T
2017-12-18,0.0
2017-12-19,0.0
2017-12-20,0.0
2017-12-21,0.0
2017-12-22,0.0
2017-12-23,0.0
2017-12-24,0.0
2017-12-25,0.0
2017-12-26,T
2017-12-27,-887.0
2017-12-28,0.0
2017-12-29,0.0
2017-12-30,0.0
2017-12-31,0.0
2018-01-01,T
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,T
2018-01-06,T
2018-01-07,0.0
2018-01-08,4.2
2018-01-09,0.9
2018-01-10,0.1
2018-01-11,0.3
2018-01-12,T
2018-01-13,0.0
2018-01-14,1.3
2018-01-15,0.2
2018-01-16,0.0
2018-01-17,3.5
2018-01-18,9.7
2018-01-19,0.7
2018-01-20,T
2018-01-21,T
2018-01-22,4.2
2018-01-23,1.1
2018-01-24,0.0
2018-01-25,T
2018-01-26,T
2018-01-27,0.0
2018-01-28,T
2018-01-29,T
2018-01-30,0.0
2018-01-31,0.0
2018-02-01,0.0
2018-02-02,T
2018-02-03,0.0
2018-02-04,0.0
2018-02-05,0.5
2018-02-06,-887.9
2018-02-07,0.0
2018-02-08,0.0
2018-02-09,T
2018-02-10,T
2018-02-11,0.0
2018-02-12,T
2018-02-13,T
2018-02-14,T
2018-02-15,7.1
2018-02-16,3.8
2018-02-17,0.1
2018-02-18,1.6
2018-02-19,0.2
2018-02-20,3.1
2018-02-21,0.3
2018-02-22,0.0
2018-02-23,0.0
2018-02-24,0.0
2018-02-25,3.4
2018-02-26,6.6
2018-02-27,2.1
2018-02-28,0.6
2018-03-01,0.2
2018-03-02,0.0
2018-03-03,7.7
2018-03-04,2.2
2018-03-05,-887.5
2018-03-06,-887.8
2018-03-07,1.6
2018-03-08,0.9
2018-03-09,T
2018-03-10,0.0
2018-03-11,4.6
2018-03-12,0.0
2018-03-13,0.0
2018-03-14,0.0
2018-03-15,1.4
2018-03-16,4.3
2018-03-17,T
2018-03-18,0.6
2018-03-19,0.0
2018-03-20,-887.5
2018-03-21,0.2
2018-03-22,1.8
2018-03-23,-886.5
2018-03-24,0.9
2018-03-25,T
2018-03-26,0.0
2018-03-27,0.6
2018-03-28,0.0
2018-03-29,0.0
2018-03-30,0.0
2018-03-31,0.0
2018-04-01,0.0
2018-04-02,T
2018-04-03,0.0
2018-04-04,0.0
2018-04-05,0.0
2018-04-06,0.0
2018-04-07,-887.6
2018-04-08,T
2018-04-09,0.0
2018-04-10,0.0
2018-04-11,0.0
2018-04-12,0.0
2018-04-13,2.1
2018-04-14,0.0
2018-04-15,0.0
2018-04-16,0.0
2018-04-17,0.0
2018-04-18,0.0
2018-04-19,0.0
2018-04-20,0.0
2018-04-21,T
2018-04-22,0.0
2018-04-23,1.0
2018-04-24,1.7
2018-04-25,0.4
2018-04-26,0.0
2018-04-27,0.0
2018-04-28,0.4
2018-04-29,0.0
2018-04-30,T
2018-05-01,4.1
2018-05-02,0.0
2018-05-03,0.0
2018-05-04,0.0
2018-05-05,0.0
2018-05-06,0.0
2018-05-07,0.0
2018-05-08,0.0
2018-05-09,0.0
2018-05-10,0.0
2018-05-11,0.0
2018-05-12,0.0
2018-05-13,0.0
2018-05-14,0.0
2018-05-15,0.0
2018-05-16,0.0
2018-05-17,0.0
2018-05-18,0.0
2018-05-19,0.0
2018-05-20,0.0
2018-05-21,0.0
2018-05-22,0.0
2018-05-23,0.0
2018-05-24,0.0
2018-05-25,0.0
2018-05-26,0.0
2018-05-27,0.0
2018-05-28,0.0
2018-05-29,0.0
2018-05-30,0.0
2018-05-31,0.0
2018-06-01,0.0
2018-06-02,0.0
